"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 16 06:27:13 UTC 2022","Sat Jul 16 06:27:14 UTC 2022","328","","","","","","POST a new checklist with an invalid pos to a card",""
"passed","Sat Jul 16 06:26:59 UTC 2022","Sat Jul 16 06:27:00 UTC 2022","559","","","","","","POST a non-image attachment as cover to a card",""
"passed","Sat Jul 16 06:27:23 UTC 2022","Sat Jul 16 06:27:23 UTC 2022","492","","","","","","Modify data from specific label",""
"passed","Sat Jul 16 06:27:21 UTC 2022","Sat Jul 16 06:27:21 UTC 2022","288","","","","","","Create and verify label in board",""
"passed","Sat Jul 16 06:27:16 UTC 2022","Sat Jul 16 06:27:17 UTC 2022","712","","","","","","GET all checklist items on a checklist",""
"passed","Sat Jul 16 06:27:02 UTC 2022","Sat Jul 16 06:27:03 UTC 2022","823","","","","","","CREATE and DELETE a board -- @1.1 ",""
"passed","Sat Jul 16 06:27:49 UTC 2022","Sat Jul 16 06:28:10 UTC 2022","20954","","","","","","Update board title",""
"passed","Sat Jul 16 06:36:57 UTC 2022","Sat Jul 16 06:37:13 UTC 2022","16061","","","","","","Log in to app",""
"passed","Sat Jul 16 06:27:06 UTC 2022","Sat Jul 16 06:27:07 UTC 2022","828","","","","","","CREATE and DELETE a board -- @1.6 ",""
"passed","Sat Jul 16 06:27:22 UTC 2022","Sat Jul 16 06:27:23 UTC 2022","437","","","","","","Create labels in specific card with different names and colors -- @1.2 Values",""
"passed","Sat Jul 16 06:27:02 UTC 2022","Sat Jul 16 06:27:02 UTC 2022","221","","","","","","Updating information of a Board",""
"passed","Sat Jul 16 06:27:18 UTC 2022","Sat Jul 16 06:27:18 UTC 2022","719","","","","","","GET a checklist item by its id",""
"passed","Sat Jul 16 06:35:38 UTC 2022","Sat Jul 16 06:35:56 UTC 2022","17772","","","","","","Create list",""
"passed","Sat Jul 16 06:27:24 UTC 2022","Sat Jul 16 06:27:24 UTC 2022","337","","","","","","Create labels in  card with invalid names and colors -- @1.1 Values",""
"passed","Sat Jul 16 06:27:07 UTC 2022","Sat Jul 16 06:27:07 UTC 2022","120","","","","","","Get a board negative -- @1.1 ",""
"passed","Sat Jul 16 06:26:54 UTC 2022","Sat Jul 16 06:26:55 UTC 2022","1391","","","","","","GET an attachment from a card",""
"passed","Sat Jul 16 06:27:02 UTC 2022","Sat Jul 16 06:27:02 UTC 2022","129","","","","","","Get all information of board",""
"passed","Sat Jul 16 06:27:10 UTC 2022","Sat Jul 16 06:27:10 UTC 2022","670","","","","","","Modify a Comment in a Card",""
"passed","Sat Jul 16 06:27:22 UTC 2022","Sat Jul 16 06:27:22 UTC 2022","475","","","","","","Create labels in specific card with different names and colors -- @1.1 Values",""
"passed","Sat Jul 16 06:36:13 UTC 2022","Sat Jul 16 06:36:56 UTC 2022","43828","","","","","","Delete list",""
"passed","Sat Jul 16 06:27:02 UTC 2022","Sat Jul 16 06:27:02 UTC 2022","115","","","","","","Get members of board",""
"passed","Sat Jul 16 06:27:25 UTC 2022","Sat Jul 16 06:27:25 UTC 2022","122","","","","","","GET all lists in a board",""
"passed","Sat Jul 16 06:27:25 UTC 2022","Sat Jul 16 06:27:25 UTC 2022","158","","","","","","Update a list name",""
"passed","Sat Jul 16 06:27:07 UTC 2022","Sat Jul 16 06:27:07 UTC 2022","125","","","","","","Updating information of a Board negative",""
"passed","Sat Jul 16 06:27:25 UTC 2022","Sat Jul 16 06:27:25 UTC 2022","121","","","","","","GET a list by id",""
"passed","Sat Jul 16 06:27:13 UTC 2022","Sat Jul 16 06:27:13 UTC 2022","517","","","","","","POST a new checklist to a card",""
"passed","Sat Jul 16 06:27:24 UTC 2022","Sat Jul 16 06:27:25 UTC 2022","330","","","","","","Create labels in  card with invalid names and colors -- @1.2 Values",""
"failed","Sat Jul 16 06:28:10 UTC 2022","Sat Jul 16 06:28:57 UTC 2022","47213","","","","","","Delete board",""
"passed","Sat Jul 16 06:26:52 UTC 2022","Sat Jul 16 06:26:54 UTC 2022","1832","","","","","","GET all attachments from a card",""
"passed","Sat Jul 16 06:27:07 UTC 2022","Sat Jul 16 06:27:08 UTC 2022","103","","","","","","Get a board negative -- @1.4 ",""
"passed","Sat Jul 16 06:26:55 UTC 2022","Sat Jul 16 06:26:56 UTC 2022","1242","","","","","","GET an non existing attachment from a card",""
"passed","Sat Jul 16 06:27:05 UTC 2022","Sat Jul 16 06:27:06 UTC 2022","773","","","","","","CREATE and DELETE a board -- @1.5 ",""
"passed","Sat Jul 16 06:27:07 UTC 2022","Sat Jul 16 06:27:07 UTC 2022","105","","","","","","Get a board negative -- @1.2 ",""
